"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2014","1000","lev","2008","Western calendar year","59602400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2013","1000","lev","2008","Western calendar year","10138800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2013","1000","lev","2008","Western calendar year","3623700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2013","1000","lev","2008","Western calendar year","1672200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2013","1000","lev","2008","Western calendar year","10920000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2013","1000","lev","2008","Western calendar year","3459900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2013","1000","lev","2008","Western calendar year","2695600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2013","1000","lev","2008","Western calendar year","8324300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2013","1000","lev","2008","Western calendar year","2995900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2013","1000","lev","2008","Western calendar year","3885100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2013","1000","lev","2008","Western calendar year","478600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2013","1000","lev","2008","Western calendar year","3787600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2013","1000","lev","2008","Western calendar year","2689200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2013","1000","lev","2008","Western calendar year","54670900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2013","1000","lev","2008","Western calendar year","1900264000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Health","13.2","2013","1000","lev","2008","Western calendar year","31578000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2013","1000","lev","2008","Western calendar year","5653722000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Recreation and culture","13.3","2013","1000","lev","2008","Western calendar year","52927000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2013","1000","lev","2008","Western calendar year","50660000000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Education","13.4","2013","1000","lev","2008","Western calendar year","61628000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Social protection","13.5","2013","1000","lev","2008","Western calendar year","6846000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Other services","13.6","2013","1000","lev","2008","Western calendar year","197808000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2013","1000","lev","2008","Western calendar year","351200000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Housing","14.1","2013","1000","lev","2008","Western calendar year","61087000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2013","1000","lev","2008","Western calendar year","3185200000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2013","1000","lev","2008","Western calendar year","348900000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2013","1000","lev","2008","Western calendar year","2571000000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2013","1000","lev","2008","Western calendar year","409700000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2013","1000","lev","2008","Western calendar year","6838600000","2"
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2013","1000","lev","2008","Western calendar year","57849800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2012","1000","lev","2008","Western calendar year","10540300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2012","1000","lev","2008","Western calendar year","4096800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2012","1000","lev","2008","Western calendar year","1580700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2012","1000","lev","2008","Western calendar year","11085400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2012","1000","lev","2008","Western calendar year","3788800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2012","1000","lev","2008","Western calendar year","3040700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2012","1000","lev","2008","Western calendar year","9106800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2012","1000","lev","2008","Western calendar year","3016700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2012","1000","lev","2008","Western calendar year","3865500000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2012","1000","lev","2008","Western calendar year","507400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2012","1000","lev","2008","Western calendar year","4091600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2012","1000","lev","2008","Western calendar year","2571300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2012","1000","lev","2008","Western calendar year","57292100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2012","1000","lev","2008","Western calendar year","1915450000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Health","13.2","2012","1000","lev","2008","Western calendar year","28312000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2012","1000","lev","2008","Western calendar year","5698905000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Recreation and culture","13.3","2012","1000","lev","2008","Western calendar year","53689000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2012","1000","lev","2008","Western calendar year","53346300000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Education","13.4","2012","1000","lev","2008","Western calendar year","50816000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Social protection","13.5","2012","1000","lev","2008","Western calendar year","6416000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Other services","13.6","2012","1000","lev","2008","Western calendar year","182002000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2012","1000","lev","2008","Western calendar year","324700000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Housing","14.1","2012","1000","lev","2008","Western calendar year","62617000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2012","1000","lev","2008","Western calendar year","3056900000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2012","1000","lev","2008","Western calendar year","309800000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2012","1000","lev","2008","Western calendar year","2580800000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2012","1000","lev","2008","Western calendar year","520500000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2012","1000","lev","2008","Western calendar year","6514400000","2"
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2012","1000","lev","2008","Western calendar year","60185400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2011","1000","lev","2008","Western calendar year","10247300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","9927900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2011","1000","lev","2008","Western calendar year","3716400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","3488400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2011","1000","lev","2008","Western calendar year","1477000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","1465900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2011","1000","lev","2008","Western calendar year","10658400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","8359400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2011","1000","lev","2008","Western calendar year","3185800000",""
